item_id,order_id,product_id,quantity
1,23,13,2
2,100,1,3
3,60,5,2
4,28,11,3
5,84,14,5
6,31,3,4
7,40,10,4
8,95,4,2
9,37,4,1
10,77,6,5
11,38,10,2
12,93,16,2
13,21,12,3
14,87,1,5
15,6,15,3
16,12,7,2
17,71,20,5
18,68,14,3
19,97,19,3
20,66,14,1
21,94,4,3
22,45,2,4
23,5,20,3
24,15,9,2
25,62,16,5
26,100,4,4
27,81,11,1
28,21,10,1
29,54,7,1
30,18,3,2
31,52,7,2
32,92,11,3
33,32,14,4
34,37,10,2
35,27,19,1
36,27,16,2
37,12,19,3
38,86,8,1
39,67,18,4
40,59,20,5
41,74,17,5
42,45,4,5
43,95,1,5
44,76,15,2
45,35,8,3
46,64,3,2
47,85,7,3
48,6,16,3
49,24,17,2
50,65,13,2
51,37,5,2
52,13,15,5
53,14,2,2
54,76,13,4
55,42,19,4
56,92,15,3
57,97,15,2
58,82,7,5
59,48,2,2
60,92,5,1
61,19,7,2
62,7,6,2
63,56,17,4
64,31,11,1
65,70,5,4
66,21,13,4
67,89,18,4
68,87,8,1
69,17,3,1
70,91,4,5
71,78,14,1
72,33,9,5
73,44,8,2
74,85,18,1
75,95,8,4
76,93,3,2
77,15,13,4
78,90,11,2
79,18,18,1
80,49,9,1
81,90,4,4
82,29,9,3
83,1,11,5
84,98,4,4
85,67,7,4
86,45,20,4
87,15,11,3
88,78,12,1
89,77,15,2
90,37,12,3
91,52,8,3
92,9,3,1
93,58,10,2
94,5,19,2
95,97,11,1
96,100,6,4
97,92,11,2
98,52,10,5
99,28,5,5
100,3,5,4
101,91,12,4
102,100,8,2
103,17,4,4
104,10,19,3
105,42,14,3
106,96,18,4
107,8,3,3
108,51,12,1
109,12,19,1
110,60,2,4
111,95,18,2
112,38,1,1
113,30,15,4
114,35,2,4
115,59,2,1
116,21,20,1
117,51,11,1
118,79,4,3
119,19,17,1
120,16,19,3
121,92,10,4
122,53,11,5
123,64,5,3
124,46,15,1
125,53,9,5
126,82,1,3
127,24,15,2
128,82,10,3
129,97,14,2
130,93,18,1
131,95,17,3
132,22,10,2
133,66,8,4
134,85,3,4
135,37,12,3
136,37,8,1
137,15,10,2
138,17,18,3
139,40,7,4
140,41,20,4
141,6,15,2
142,13,19,5
143,72,13,4
144,52,4,4
145,72,3,5
146,92,3,2
147,14,1,5
148,19,10,3
149,6,5,5
150,62,14,5
151,60,11,5
152,64,18,2
153,5,16,4
154,68,11,1
155,12,2,4
156,36,10,5
157,19,3,2
158,63,7,3
159,2,4,2
160,10,15,1
161,81,13,4
162,12,4,1
163,13,18,3
164,48,3,3
165,60,5,3
166,63,6,2
167,12,17,2
168,62,4,2
169,50,18,3
170,16,16,4
171,15,2,2
172,58,11,1
173,1,12,2
174,70,3,5
175,87,19,1
176,46,4,1
177,47,18,3
178,41,13,5
179,30,14,5
180,65,10,1
181,57,7,1
182,78,14,4
183,74,8,4
184,56,13,1
185,53,17,1
186,18,8,2
187,89,2,2
188,49,14,5
189,95,8,5
190,41,19,5
191,37,3,5
192,47,10,2
193,99,20,5
194,32,3,3
195,72,16,5
196,54,11,1
197,92,15,2
198,1,19,4
199,55,4,3
200,36,15,2
