order_id,customer_id,order_date,status
1,28,2025-01-12,Pending
2,47,2025-05-25,Cancelled
3,49,2025-06-13,Cancelled
4,13,2025-08-02,Cancelled
5,18,2025-06-14,Cancelled
6,27,2025-07-22,Pending
7,20,2025-03-20,Shipped
8,11,2025-09-10,Cancelled
9,44,2025-06-30,Delivered
10,45,2025-06-02,Shipped
11,46,2025-06-18,Delivered
12,28,2025-07-20,Pending
13,20,2025-06-30,Shipped
14,25,2025-09-12,Cancelled
15,26,2025-11-07,Pending
16,35,2025-06-11,Cancelled
17,29,2025-10-21,Cancelled
18,21,2025-08-14,Pending
19,21,2025-07-30,Shipped
20,1,2025-04-05,Pending
21,37,2025-05-12,Pending
22,10,2025-10-15,Delivered
23,20,2025-10-13,Delivered
24,8,2025-09-20,Delivered
25,6,2025-05-23,Cancelled
26,33,2025-11-10,Cancelled
27,28,2025-02-21,Pending
28,14,2025-08-11,Cancelled
29,33,2025-01-03,Pending
30,24,2025-10-06,Delivered
31,33,2025-04-11,Pending
32,26,2025-05-02,Shipped
33,12,2025-09-16,Shipped
34,25,2025-10-31,Pending
35,8,2025-04-20,Pending
36,36,2025-06-11,Cancelled
37,25,2025-02-24,Shipped
38,4,2025-11-02,Shipped
39,44,2025-04-01,Shipped
40,27,2025-08-09,Cancelled
41,39,2025-01-28,Delivered
42,12,2025-01-19,Shipped
43,21,2025-08-10,Shipped
44,34,2025-09-10,Cancelled
45,40,2025-04-30,Delivered
46,9,2025-06-20,Shipped
47,12,2025-07-30,Shipped
48,30,2025-02-09,Shipped
49,20,2025-09-27,Pending
50,1,2025-11-11,Delivered
51,14,2025-07-19,Shipped
52,9,2025-10-30,Delivered
53,12,2025-05-19,Shipped
54,34,2025-04-20,Shipped
55,43,2025-10-21,Cancelled
56,6,2025-04-07,Cancelled
57,34,2025-04-17,Pending
58,42,2025-07-30,Shipped
59,31,2025-02-26,Cancelled
60,33,2025-01-03,Pending
61,35,2025-01-01,Pending
62,16,2025-05-11,Cancelled
63,45,2025-09-27,Cancelled
64,7,2025-02-10,Cancelled
65,29,2025-11-05,Cancelled
66,42,2025-06-05,Pending
67,30,2025-01-01,Shipped
68,26,2025-01-29,Shipped
69,50,2025-02-15,Cancelled
70,34,2025-01-02,Shipped
71,49,2025-04-06,Delivered
72,43,2025-06-18,Pending
73,42,2025-09-23,Shipped
74,47,2025-05-11,Cancelled
75,33,2025-01-29,Delivered
76,44,2025-03-08,Shipped
77,46,2025-08-21,Cancelled
78,25,2025-07-19,Shipped
79,4,2025-09-17,Cancelled
80,20,2025-07-18,Cancelled
81,31,2025-11-04,Delivered
82,19,2025-09-20,Pending
83,25,2025-10-23,Cancelled
84,45,2025-02-09,Cancelled
85,28,2025-01-09,Pending
86,37,2025-10-01,Shipped
87,20,2025-05-22,Shipped
88,16,2025-01-15,Pending
89,48,2025-03-02,Delivered
90,4,2025-05-27,Pending
91,6,2025-11-12,Delivered
92,21,2025-05-16,Shipped
93,18,2025-04-12,Pending
94,20,2025-01-17,Cancelled
95,25,2025-11-11,Delivered
96,3,2025-04-14,Shipped
97,19,2025-04-21,Delivered
98,29,2025-05-13,Shipped
99,41,2025-11-01,Pending
100,14,2025-01-01,Delivered
